編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLNKNHPFFBC28CA,23,26.49,共用部份,鋼筋混凝土造,85年11月19日,五層,
RPWNMLPLNHPFFBC88CA,54,98.50,住家用,加強磚造,55年5月1日,二層,一層 二層
RPQNMLKLNHPFFBC77CA,62,42.76,住家用,磚造,47年3月1日,一層,一層
RPOOMLPLNHPFFBC18CA,40,110.09,住家用,加強磚造,69年7月19日,二層,一層 二層
RPSOMLNKNHPFFCC38CA,45,69.95,住家用,鋼筋混凝土加強磚造,63年12月13日,四層,一層
RPROMLNKNHPFFCC28CA,37,89.94,住家用,鋼筋混凝土造,72年4月18日,五層,二層
RPXNMLTKNHPFFCC76CA,14,330.88,見其他登記事項,鋼筋混凝土造,95年5月10日,三層,二層 三層
RPXNMLTKNHPFFCC76CA,14,49.82,共用部份,鋼筋混凝土造,95年5月10日,三層,
RPSNMLTKNHPFFCC88CA,24,73.88,住家用,鋼筋混凝土造,84年12月20日,七層,六層
RPSNMLTKNHPFFCC88CA,24,6.04,共用部份,鋼筋混凝土造,84年12月20日,七層,
RPPNMLPKNHPFFCC18CA,4,50.51,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,三層
RPPNMLPKNHPFFCC18CA,4,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPPNMLPKNHPFFCC18CA,4,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPNMLPKNHPFFCC18CA,4,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPNMLPKNHPFFCC18CA,4,.49,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPNMLPKNHPFFCC18CA,4,20.63,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPWNMLTKNHPFFCC66CA,14,144.71,見其他登記事項,鋼筋混凝土造,95年5月10日,三層,一層
RPWNMLTKNHPFFCC66CA,14,1.72,共用部份,鋼筋混凝土造,95年5月10日,三層,
RPVNMLOKNHPFFCC68CA,4,200.98,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,八層
RPVNMLOKNHPFFCC68CA,4,1.93,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPVNMLOKNHPFFCC68CA,4,113.85,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPVNMLOKNHPFFCC68CA,4,.04,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPVNMLOKNHPFFCC68CA,4,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPVNMLOKNHPFFCC68CA,4,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPNMLLLNHPFFCC87CA,25,82.21,住家用,鋼筋混凝土造,83年10月15日,五層,二層
RPPNMLLLNHPFFCC87CA,25,2.36,共用部份,鋼筋混凝土造,83年10月15日,五層,
RPPNMLLLNHPFFCC87CA,25,7.86,共用部份,鋼筋混凝土造,83年10月15日,五層,
RPRNMLMLNHPFFCC18CA,4,89.68,見其他登記事項,鋼筋混凝土造,105年1月22日,七層,三層
RPRNMLMLNHPFFCC18CA,4,44.97,見其他登記事項,鋼筋混凝土造,105年1月22日,九層,
RPRNMLMLNHPFFCC18CA,4,42.95,見其他登記事項,鋼筋混凝土造,105年1月22日,九層,
RPRNMLTLNHPFFCC88CA,1,136.66,見其他登記事項,鋼筋混凝土造,108年1月14日,七層,三層
RPRNMLTLNHPFFCC88CA,1,38.17,見其他登記事項,鋼筋混凝土造,108年1月14日,七層,
RPRNMLTLNHPFFCC88CA,1,63.06,見其他登記事項,鋼筋混凝土造,108年1月14日,七層,
RPSNMLPKNHPFFCC68EA,31,151.32,住家用,鋼筋混凝土造,78年7月20日,二層,一層 二層
RPWNMLSLNHPFFBC66DA,26,77.54,住家用,鋼筋混凝土造,82年11月20日,五層,二層
RPWNMLSLNHPFFBC66DA,26,13.83,共用部份,鋼筋混凝土造,82年11月20日,五層,
RPVNMLPLNHPFFCC88CA,21,61.92,住家用,鋼筋混凝土造,88年1月14日,十二層,九層
