鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,房地(土地+建物),桃園市中壢區環西路二段301~330號,22.3,其他,,,1090403,土地1建物1車位0,十八層，十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811223,273.18,5,3,2,有,有,9300000,34043,,0.0,0,含增建或未登記建物。,RPSQMLTKNHPFFBH07DA
蘆竹區,房地(土地+建物),桃園市蘆竹區奉化路258巷1~30號,17.0,住,,,1090311,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950218,86.13,2,2,1,有,有,6460000,75003,,0.0,0,含增建或未登記建物。,RPWOMLQLNHPFFEH37DA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區五福路106巷1~30號,38.61,住,,,1090308,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930430,182.97,4,2,2,有,有,13350000,82845,坡道平面,36.31,1200000,含增建或未登記建物。;,RPVPMLTKNHPFFEH57DA
大園區,土地,內海墘段121~150地號,266.0,,一般農業區,甲種建築用地,1090501,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,21053,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLOKNHPFFEH09DA
平鎮區,房地(土地+建物),桃園市平鎮區龍南路430巷21弄1~30號,44.34,住,,,1090415,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0680601,57.6,2,3,3,有,無,4680000,81250,,0.0,0,含增建或未登記建物。,RPVNMLPKNHPFFGH17DA
平鎮區,房地(土地+建物),桃園市平鎮區延平路二段239巷1~30號,13.98,商,,,1090222,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010406,86.0,2,2,1,有,有,4500000,52326,,0.0,0,,RPVOMLSKNHPFFGH57DA
平鎮區,房地(土地+建物),桃園市平鎮區平東路239巷39弄1~30號,87.44,住,,,1090323,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0671110,93.55,4,3,4,有,無,7400000,79102,,0.0,0,含增建或未登記建物。,RPOPMLSKNHPFFGH96DA
龜山區,土地,山德段31~60地號,168.6,住,,,1081024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4050000,24021,,0.0,0,,RPOOMLNKNHPFFHH09DA
桃園區,房地(土地+建物),桃園市桃園區三民路三段271~300號,7.3,住,,,1090504,土地2建物2車位0,七層,十五層,辦公商業大樓,見其他登記事項,見其他登記事項,0800819,66.21,0,0,0,無,無,2200000,33228,,0.0,0,,RPRQMLPKNHPFFAH56EA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區忠孝西路182巷31~60號,12.55,住,,,1090404,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010426,120.65,2,2,1,有,有,9100000,86121,坡道平面,30.08,1300000,含增建或未登記建物。;,RPTPMLTKNHPFFEH37DA
