編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLKKOHPFFAO88CA,,49.08,住家用,加強磚造,,二層,一層 二層
RPSNMLLJOHPFFAO09CA,1,75.35,共有部分,鋼筋混凝土造,108年9月4日,十五層,
RPSNMLLJOHPFFAO09CA,1,67.61,見其他登記事項,鋼筋混凝土造,108年9月4日,十五層,十五層
RPOPMLOJOHPFFAO56CA,25,39.81,住家用,鋼筋混凝土造,83年11月14日,五層,二層
RPOPMLOJOHPFFAO56CA,25,10.36,共有部分,鋼筋混凝土造,83年11月14日,五層,
RPOPMLOJOHPFFAO56CA,25,23.06,共有部分,鋼筋混凝土造,83年11月14日,五層,
RPUPMLKLNHPFFAO07EA,18,28.70,住家用,鋼筋混凝土造,90年11月28日,七層,六層
RPUPMLKLNHPFFAO07EA,18,16.32,見其他登記事項,鋼筋混凝土造,90年11月28日,七層,
RPVOMLSLNHPFFAO77DA,1,313.75,見其他登記事項,鋼筋混凝土造,108年4月10日,四層,一層 二層 三層 四層 見其他登記事項
RPUPMLPJOHPFFAO27CA,45,306.00,住商用,鋼筋混凝土造,64年7月31日,四層,一層 二層 三層 四層 騎樓
RPSOMLMLNHPFFAO76CA,2,102.26,見其他登記事項,鋼筋混凝土造,106年12月8日,十五層,五層
RPSOMLMLNHPFFAO76CA,2,3.55,共有部分,鋼筋混凝土造,106年12月8日,十五層,
RPSOMLMLNHPFFAO76CA,2,12.96,共有部分,鋼筋混凝土造,106年12月8日,十五層,
RPSOMLMLNHPFFAO76CA,2,.05,見其他登記事項,鋼筋混凝土造,106年12月8日,十五層,一層
RPSOMLMLNHPFFAO76CA,2,24.58,共有部分,鋼筋混凝土造,106年12月8日,十五層,
RPSOMLMLNHPFFAO76CA,2,24.69,共有部分,鋼筋混凝土造,106年12月8日,十五層,
RPRNMLMJOHPFFAO09CA,15,314.12,見其他登記事項,鋼筋混凝土造,93年10月1日,四層,一層 二層 三層 四層
RPRNMLMJOHPFFAO09CA,16,6.54,見其他登記事項,鋼骨鋼筋混凝土造,93年5月26日,二層,一層 二層 地下一層
RPRNMLMJOHPFFAO09CA,18,3.99,住家用,見其他登記事項,91年6月20日,三層,一層 二層 三層
RPRNMLMJOHPFFAO09CA,18,1.03,住家用,見其他登記事項,91年6月20日,三層,一層 二層
RPQOMLOLNHPFFAO76CA,23,21.01,住家用,鋼筋混凝土造,86年7月15日,十二層,五層
RPQOMLOLNHPFFAO76CA,23,3.39,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPQOMLOLNHPFFAO76CA,23,.08,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPQOMLOLNHPFFAO76CA,23,6.80,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPVPMLPLNHPFFAO47CA,,91.29,住家用,鋼筋混凝土造,,四層,四層
RPVQMLTKNHPFFAO87CA,21,90.49,商業用,鋼筋混凝土造,87年10月15日,八層,一層
RPVQMLTKNHPFFAO87CA,21,15.16,共有部分,鋼筋混凝土造,87年10月15日,八層,
RPRPMLTKNHPFFAO37CA,5,137.55,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,二十四層
