鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹南鎮,土地,竹圍段1~30地號,152.38,農,,,1090410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,11156,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLLJOHPFFDK68CA
後龍鎮,土地,外埔段1651~1680地號,2140.0,,特定農業區,農牧用地,1090415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,1776,,0.0,0,,RPRNMLLJOHPFFDK88CA
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮西勢里11鄰西勢1~30號,73.42,住,,,1090405,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070717,171.0,6,4,4,有,無,8100000,47368,,0.0,0,,RPPNMLSKNHPFFCK66CA
通霄鎮,土地,土城段721~750地號,1327.0,,一般農業區,農牧用地,1090416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,980,,0.0,0,,RPVNMLMKNHPFFCK66CA
苑裡鎮,土地,慈護段451~480地號,597.8,,特定農業區,甲種建築用地,1080104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7594860,12705,,0.0,0,,RPRNMLNKNHPFFCK98CA
頭屋鄉,房地(土地+建物)+車位,苗栗縣頭屋鄉頭屋村14鄰中華街61~90號,181.99,其他,,,1090217,土地1建物2車位2,三層,六層,辦公商業大樓,商業用,鋼筋混凝土造,0880126,679.6,10,3,6,有,無,9400000,13832,坡道平面,0.0,0,"含增建或未登記建物。;權利人有兩位,分別共有;本件之房地交易總價含3樓及4樓及地下停車位2個車位",RPPNMLTKNHPFFBK66CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市建功里26鄰新都街151~180號,29.29,住,,,1090415,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930521,197.93,3,1,2,有,無,5800000,29303,坡道平面,0.0,0,,RPQNMLRKNHPFFBK56CA
公館鄉,土地,福基段601~630地號,6143.0,,山坡地保育區,農牧用地,1090324,土地17建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,326,,0.0,0,,RPXNMLOKNHPFFBK96CA
公館鄉,土地,福基段601~630地號,1168.0,,山坡地保育區,農牧用地,1090408,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1712,,0.0,0,,RPWNMLOKNHPFFBK86CA
大湖鄉,土地,大湖段751~780地號,2002.0,,山坡地保育區,林業用地,1090503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,460000,230,,0.0,0,,RPPNMLPKNHPFFAK78CA
大湖鄉,土地,義和段541~570地號,167.1,,山坡地保育區,丙種建築用地,1090422,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,14961,,0.0,0,含增建或未登記建物。;三棟,RPPNMLSKNHPFFAK09CA
苗栗市,房地(土地+建物),苗栗縣苗栗市福麗里15鄰至公路493巷31~60號,177.2,住,,,1090326,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060123,182.87,4,3,3,有,有,8800000,48122,,0.0,0,權利人共兩人，各持分1/2,RPXNMLLLNHPFFBK76CA
通霄鎮,土地,中山段31~60地號,1075.9,,山坡地保育區,農牧用地,1090413,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,16730,,0.0,0,含增建或未登記建物。;,RPUNMLTKNHPFFCK27CA
通霄鎮,土地,內湖東段1201~1230地號,439.72,,一般農業區,農牧用地,1090417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,1137,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLOKNHPFFCK88CA
苑裡鎮,土地,苑港段151~180地號,1575.0,,特定農業區,農牧用地,1090421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,2095,,0.0,0,,RPPNMLPKNHPFFCK98CA
苑裡鎮,土地,西海段871~900地號,2000.0,,特定農業區,農牧用地,1090325,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4840000,2420,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLPKNHPFFCK09CA
後龍鎮,房地(土地+建物),苗栗縣後龍鎮南港里2鄰南勢山1~30號,90.0,,一般農業區,丙種建築用地,1090424,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0730815,145.04,2,2,2,有,無,2380000,16409,,0.0,0,含增建或未登記建物。;,RPSOMLRLNHPFFDK17CA
造橋鄉,房地(土地+建物),苗栗縣造橋鄉談文村5鄰育英三街1~30號,14.9,,山坡地保育區,丙種建築用地,1090425,土地1建物1車位0,一層,三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0930623,20.41,1,1,1,有,有,320000,15679,,0.0,0,,RPWNMLPLNHPFFDK27CA
