鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
橋頭區,土地,內庄段301~330地號,2571.92,其他,,,1090112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42930000,16692,,0.0,0,因細部計畫尚未完成，無法依照變更後之用途使用。,RPVOMLSKOHPFFFE27DA
鳳山區,房地(土地+建物),高雄市鳳山區瑞竹里瑞進路151~180號,39.25,住,,,1090430,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690107,114.01,3,2,2,有,無,2300000,20174,,0.0,0,,RPPNMLRJNHPFFGE56CD
林園區,土地,港子埔段1141~1170地號,1040.0,住,,,1090423,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33347600,32065,,0.0,0,,RPPNMLSJNHPFFLE17CD
旗山區,土地,大山段151~180地號,4057.73,,山坡地保育區,農牧用地,1090224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1176742,290,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLNJOHPFFHE09DA
內門區,土地,萊子坑段361~390地號,583.18,,山坡地保育區,農牧用地,1090504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,514,,0.0,0,,RPPNMLNKNHPFFHE78DA
三民區,房地(土地+建物),高雄市三民區九如二路31~60號,2.96,商,,,1090501,土地1建物1車位0,八層，電梯樓梯間,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831103,36.33,1,1,1,有,有,1460000,40187,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLOKNHPFFDE68DA
前鎮區,房地(土地+建物),高雄市前鎮區一心二路31~60號,18.17,商,,,1090310,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800111,196.66,3,1,2,有,有,7200000,36611,,0.0,0,賣清.賣方是買方媽媽的學生,RPXNMLSKNHPFFCE96DA
林園區,土地,頂溪州段61~90地號,224.67,住,,,1090408,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1640066,7300,,0.0,0,包含公共設施保留地之交易。;,RPSOMLRLNHPFFLE37CA
林園區,房地(土地+建物),高雄市林園區校前路6巷31弄1~30號,18.5,住,,,1090422,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830730,107.13,3,2,2,有,有,2250000,21003,,0.0,0,,RPSNMLSLNHPFFLE37CA
大寮區,土地,山子頂段3121~3150地號,112.0,農,,,1090501,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,42857,,0.0,0,,RPXNMLMKNHPFFLE17CA
