鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
歸仁區,房地(土地+建物)+車位,臺南市歸仁區南興里文化九街31~60號,35.01,住,,,1090402,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840915,140.51,3,2,2,有,有,4200000,29891,坡道平面,0.0,0,,RPVNMLTKNHPFFID27CA
仁德區,土地,興安段811~840地號,69.41,工,,,1090506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,30255,,0.0,0,畸零地或有合併使用之交易。;,RPROMLNKNHPFFID98CA
關廟區,房地(土地+建物),臺南市關廟區香洋里中央路82巷10弄1~30號,70.62,住,,,1090328,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040106,186.38,4,2,4,有,無,6680000,35841,,0.0,0,,RPQNMLOKNHPFFID88CA
仁德區,房地(土地+建物),臺南市仁德區成功里保華路2巷1~30號,138.66,住,,,1090327,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1010925,232.33,6,2,3,有,無,16800000,72311,,0.0,0,,RPQOMLOKNHPFFID98CA
關廟區,土地,北花段871~900地號,46.48,住,,,1090312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800650,17226,,0.0,0,,RPTOMLPKNHPFFID76CA
關廟區,土地,北花段871~900地號,0.97,住,,,1090312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16040,0,,0.0,0,,SPTOMLPKNHPFFID86CA
關廟區,土地,北花段871~900地號,1.33,住,,,1090312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22055,16583,,0.0,0,,TPTOMLPKNHPFFID96CA
關廟區,土地,北花段871~900地號,1.33,住,,,1090312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22055,16583,,0.0,0,,UPTOMLPKNHPFFID07CA
中西區,房地(土地+建物),臺南市中西區武聖路151巷29弄1~30號,138.49,住,,,1090409,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0691103,374.45,9,3,3,有,無,15000000,40059,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLSKNHPFFAD68DA
仁德區,土地,德崙段241~270地號,122.94,商,,,1090419,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8880000,72230,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLNKNHPFFID66DA
歸仁區,房地(土地+建物),臺南市歸仁區成功路一段101巷31~60號,145.2,住,,,1090308,土地2建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1071205,207.17,5,1,3,有,無,11900000,57441,,0.0,0,,RPPNMLTKNHPFFID76DA
山上區,土地,明南段91~120地號,4690.12,,一般農業區,農牧用地,1090504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40804044,8700,,0.0,0,,RPPNMLLLNHPFFHD58DA
將軍區,土地,山子段1951~1980地號,1531.0,,特定農業區,農牧用地,1090415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,523,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLLLNHPFFGD68DA
歸仁區,房地(土地+建物),臺南市歸仁區文化12街1~30號,66.43,住,,,1090505,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0720923,72.64,2,1,2,有,無,3000000,41300,,0.0,0,,RPQNMLPKNHPFFID09DA
關廟區,房地(土地+建物),臺南市關廟區五平街1~30號,88.0,住,,,1090503,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840907,170.19,5,2,3,有,無,5760000,33845,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPOOMLPKNHPFFID98DA
永康區,房地(土地+建物),臺南市永康區南灣街138巷1~30號,44.54,住,,,1090319,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0730326,78.17,4,2,3,有,無,4300000,55008,,0.0,0,,RPUNMLLKOHPFFKD76DA
永康區,房地(土地+建物),臺南市永康區中正路279巷21弄1~30號,319.23,工,,,1090420,土地1建物1車位0,一層，二層，騎樓,二層,廠辦,見其他登記事項,加強磚造,0771128,313.49,2,1,2,有,無,7700000,24562,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPSNMLOKNHPFFKD76DA
後壁區,土地,頂中段421~450地號,68.73,,鄉村區,乙種建築用地,1090424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,830000,12076,,0.0,0,,RPPNMLSKNHPFFED88DA
東山區,土地,下南勢段211~240地號,1461.0,,山坡地保育區,農牧用地,1090508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,219150,150,,0.0,0,,RPTNMLSKNHPFFED66DA
東山區,土地,下南勢段211~240地號,1461.0,,山坡地保育區,農牧用地,1090508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,219150,150,,0.0,0,,RPUNMLSKNHPFFED76DA
白河區,土地,新興段481~510地號,102.0,農,,,1090508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,14706,,0.0,0,,RPPNMLTKNHPFFED98DA
永康區,房地(土地+建物)+車位,臺南市永康區大橋一街181巷1~30號,47.84,住,,,1090427,土地1建物1車位1,一層，二層，三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851019,239.95,4,2,3,有,有,7500000,31257,升降機械,0.0,0,,RPUNMLPLNHPFFKD17DA
永康區,房地(土地+建物),臺南市永康區復國二路190巷1~30號,67.58,住,,,1090419,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690601,78.15,4,2,2,有,無,5000000,63980,,0.0,0,一樓前方、一樓後方廚房、3樓鐵皮,RPWNMLTJOHPFFKD57CA
安南區,土地,溪東段961~990地號,138.44,住,,,1090424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9900000,71511,,0.0,0,,RPRNMLTKNHPFFBD88DA
安南區,房地(土地+建物),臺南市安南區安中路一段699巷31~60號,73.44,住,,,1090419,土地14建物1車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0700907,103.82000000000001,3,2,2,有,無,2350000,22635,,0.0,0,,RPVOMLTKNHPFFBD76DA
