編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOKOHPFFDK09CA,,133.42,住家用,鋼筋混凝土造,109年1月16日,五層,五層 見其他登記事項
RPPNMLOKOHPFFDK09CA,,1.07,見其他登記事項,鋼筋混凝土造,109年1月16日,五層,
RPPNMLOKOHPFFDK09CA,,47.27,共有部分,鋼筋混凝土造,109年1月16日,五層,
RPTNMLQKNHPFFDK96CA,,87.70,住家用,鋼筋混凝土造,109年1月16日,五層,三層
RPTNMLQKNHPFFDK96CA,,1.07,見其他登記事項,鋼筋混凝土造,109年1月16日,五層,
RPTNMLQKNHPFFDK96CA,,38.84,共有部分,鋼筋混凝土造,109年1月16日,五層,
RPVNMLQKNHPFFDK17CA,,87.70,住家用,鋼筋混凝土造,109年1月16日,五層,四層
RPVNMLQKNHPFFDK17CA,,1.07,見其他登記事項,鋼筋混凝土造,109年1月16日,五層,
RPVNMLQKNHPFFDK17CA,,38.84,共有部分,鋼筋混凝土造,109年1月16日,五層,
RPUNMLRLNHPFFDK27CA,1,194.00,住家用,鋼筋混凝土造,108年9月19日,四層,一層 二層 三層 四層
RPQNMLOKOHPFFDK56CA,,120.44,住家用,鋼筋混凝土造,109年1月16日,五層,五層 見其他登記事項
RPQNMLOKOHPFFDK56CA,,1.07,見其他登記事項,鋼筋混凝土造,109年1月16日,五層,
RPQNMLOKOHPFFDK56CA,,43.93,共有部分,鋼筋混凝土造,109年1月16日,五層,
RPUNMLQLNHPFFBK96CA,4,207.22,住家用,鋼筋混凝土造,105年1月28日,三層,一層 二層 三層 屋頂突出物
RPOOMLSLNHPFFBK66CA,26,74.53,住家用,鋼筋混凝土造,82年12月2日,,五層
RPOOMLSLNHPFFBK66CA,26,13.23,見其他登記事項,鋼筋混凝土造,82年12月2日,,
RPOOMLSLNHPFFBK66CA,26,21.68,見其他登記事項,鋼筋混凝土造,82年12月2日,,
RPWNMLSLNHPFFBK37CA,27,139.14,住家用,鋼筋混凝土造,82年1月15日,,一層 二層 三層 四層 屋頂突出物
RPPNMLKLNHPFFDK68CA,5,216.53,見其他登記事項,鋼筋混凝土造,104年1月29日,四層,一層 二層 三層 四層 見其他登記事項
RPVNMLPKNHPFFBK86CA,26,88.53,住家用,鋼筋混凝土造,83年1月18日,,二層
RPVNMLPKNHPFFBK86CA,26,12.02,見其他登記事項,鋼筋混凝土造,83年1月18日,,
RPVNMLPKNHPFFBK86CA,26,15.73,見其他登記事項,鋼筋混凝土造,83年1月18日,,
RPPNMLQJOHPFFAK88CA,38,149.24,住家用,鋼筋混凝土造,71年1月1日,二層,一層 二層
RPRNMLTKNHPFFBK86CA,2,280.86,住家用,鋼筋混凝土造,107年10月2日,三層,一層 二層 三層
RPRNMLSLNHPFFBK86CA,,91.48,住家用,鋼筋混凝土造,109年2月26日,五層,三層
RPRNMLSLNHPFFBK86CA,,40.05,見其他登記事項,鋼筋混凝土造,109年2月26日,五層,
RPXNMLSLNHPFFBK47CA,7,264.35,住家用,鋼筋混凝土造,101年11月20日,四層,一層 二層 三層 四層 屋頂突出物
RPOOMLTKNHPFFBK66CA,,145.61,住家用,鋼筋混凝土造,108年11月25日,五層,三層
RPOOMLTKNHPFFBK66CA,,62.19,見其他登記事項,鋼筋混凝土造,108年11月25日,五層,
RPSNMLSLNHPFFBK96CA,,92.75,住家用,鋼筋混凝土造,109年2月26日,五層,五層
RPSNMLSLNHPFFBK96CA,,40.05,見其他登記事項,鋼筋混凝土造,109年2月26日,五層,
RPTNMLSLNHPFFBK07CA,,91.48,住家用,鋼筋混凝土造,109年2月26日,五層,五層
RPTNMLSLNHPFFBK07CA,,40.05,見其他登記事項,鋼筋混凝土造,109年2月26日,五層,
RPUNMLSLNHPFFBK17CA,,91.48,住家用,鋼筋混凝土造,109年2月26日,五層,四層
RPUNMLSLNHPFFBK17CA,,40.05,見其他登記事項,鋼筋混凝土造,109年2月26日,五層,
RPXNMLMKOHPFFDK07CA,39,96.04,住家用,加強磚造,70年8月21日,二層,一層 二層 騎樓
RPQNMLLJOHPFFDK78CA,25,124.49,住家用,鋼筋混凝土造,84年7月20日,八層,八層
RPQNMLLJOHPFFDK78CA,25,30.56,見其他登記事項,鋼筋混凝土造,84年7月20日,八層,
RPQNMLLJOHPFFDK78CA,25,13.58,見其他登記事項,鋼筋混凝土造,84年7月20日,八層,
RPPNMLLLNHPFFDK78CA,4,144.83,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,四層
RPPNMLLLNHPFFDK78CA,4,95.32,共有部分,鋼筋混凝土造,105年8月12日,十四層,
RPRNMLPKNHPFFDK66CA,42,107.08,住家用,鋼筋混凝土造,67年9月5日,二層,一層 二層 騎樓
RPQNMLQKNHPFFFK86CA,40,70.00,住家用,鋼筋混凝土造,69年7月20日,二層,二層
RPPNMLNJOHPFFCK78CA,,86.02,見其他登記事項,鋼筋混凝土造,108年12月2日,七層,二層
RPPNMLNJOHPFFCK78CA,,30.57,見其他登記事項,鋼筋混凝土造,108年12月2日,七層,
RPTNMLLLNHPFFDK56CA,26,44.90,住家用,鋼筋混凝土造,83年1月12日,六層,六層
RPTNMLLLNHPFFDK56CA,26,4.04,見其他登記事項,鋼筋混凝土造,83年1月12日,六層,
RPTNMLLLNHPFFDK56CA,26,44.90,住家用,鋼筋混凝土造,83年1月12日,六層,六層
RPTNMLLLNHPFFDK56CA,26,11.43,見其他登記事項,鋼筋混凝土造,83年1月12日,六層,
RPTNMLLLNHPFFDK56CA,26,4.04,見其他登記事項,鋼筋混凝土造,83年1月12日,六層,
RPTNMLLLNHPFFDK56CA,26,11.43,見其他登記事項,鋼筋混凝土造,83年1月12日,六層,
RPPOMLPKNHPFFFK76CA,11,295.50,住家用,見其他登記事項,98年5月21日,三層,一層 二層 三層 屋頂突出物
RPXNMLPKNHPFFFK47CA,1,95.39,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,十二層
RPXNMLPKNHPFFFK47CA,1,53.56,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,
RPXNMLPKNHPFFFK47CA,1,20.45,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,
RPRNMLSKNHPFFFK17CA,1,96.60,見其他登記事項,鋼筋混凝土造,108年4月16日,十四層,三層
RPRNMLSKNHPFFFK17CA,1,51.09,見其他登記事項,鋼筋混凝土造,108年4月16日,十四層,
RPRNMLSKNHPFFFK17CA,1,21.66,見其他登記事項,鋼筋混凝土造,108年4月16日,十四層,
RPRNMLSKNHPFFFK17CA,1,3.50,見其他登記事項,鋼筋混凝土造,108年4月16日,十四層,一層
RPRNMLSKNHPFFFK17CA,1,.73,見其他登記事項,鋼筋混凝土造,108年4月16日,十四層,
RPPNMLLLNHPFFFK98CA,4,96.20,見其他登記事項,鋼筋混凝土造,104年12月11日,十四層,七層
RPPNMLLLNHPFFFK98CA,4,25.55,見其他登記事項,鋼筋混凝土造,104年12月11日,十四層,
RPPNMLLLNHPFFFK98CA,4,26.89,見其他登記事項,鋼筋混凝土造,104年12月11日,十四層,
RPPNMLTLNHPFFEK07CA,29,169.76,住家用,加強磚造,79年11月19日,二層,一層 二層 屋頂突出物 夾層
RPTNMLTKNHPFFFK47CA,50,97.28,住家用,磚造,59年1月17日,一層,一層
RPRNMLQLNHPFFDK96DA,17,21.79,住家用,鋼筋混凝土造,92年3月31日,三層,一層
RPRNMLQLNHPFFDK96DA,,14.28,見其他登記事項,鋼筋混凝土造,,三層,
RPRNMLQLNHPFFDK96DA,17,21.44,住家用,鋼筋混凝土造,92年3月31日,三層,一層
RPSNMLPLNHPFFFK07CA,2,134.90,見其他登記事項,鋼筋混凝土造,106年11月17日,十層,九層
RPSNMLPLNHPFFFK07CA,2,45.61,見其他登記事項,鋼筋混凝土造,106年11月17日,十層,
RPSNMLPLNHPFFFK07CA,2,26.95,見其他登記事項,鋼筋混凝土造,106年11月17日,十層,
RPRNMLSKNHPFFDK96CA,7,217.42,住家用,鋼筋混凝土造,102年7月19日,四層,一層 二層 三層 四層
RPQNMLQLNHPFFFK96CA,23,193.11,住家用,鋼筋混凝土造,86年2月26日,三層,一層 二層 三層 騎樓
RPQNMLQLNHPFFFK96CA,23,66.25,,鋼筋混凝土造,86年2月26日,,
RPWNMLTKNHPFFFK77CA,5,90.08,見其他登記事項,鋼筋混凝土造,104年7月9日,五層,五層
RPWNMLTKNHPFFFK77CA,5,36.71,見其他登記事項,鋼筋混凝土造,104年7月9日,五層,
RPTNMLLMNHPFFDK66CA,,40.08,住家用,鋼筋混凝土造,109年1月16日,五層,三層
RPTNMLLMNHPFFDK66CA,,.54,見其他登記事項,鋼筋混凝土造,109年1月16日,五層,
RPTNMLLMNHPFFDK66CA,,40.08,住家用,鋼筋混凝土造,109年1月16日,五層,三層
RPTNMLLMNHPFFDK66CA,,18.25,共有部分,鋼筋混凝土造,109年1月16日,五層,
RPTNMLLMNHPFFDK66CA,,.54,見其他登記事項,鋼筋混凝土造,109年1月16日,五層,
RPTNMLLMNHPFFDK66CA,,18.25,共有部分,鋼筋混凝土造,109年1月16日,五層,
RPSNMLTKNHPFFDK17CA,3,81.96,見其他登記事項,鋼筋混凝土造,106年7月25日,十四層,十四層
RPSNMLTKNHPFFDK17CA,3,20.09,共有部分,鋼筋混凝土造,106年7月25日,十四層,
RPSNMLTKNHPFFDK17CA,3,49.56,共有部分,鋼筋混凝土造,106年7月25日,十四層,
RPUNMLQLNHPFFFK37CA,6,169.80,住家用,鋼筋混凝土造,102年11月8日,三層,一層 二層 三層
RPUNMLQLNHPFFFK37CA,6,.13,見其他登記事項,鋼筋混凝土造,102年11月8日,一層,
RPSNMLLLNHPFFDK09CA,5,216.53,見其他登記事項,鋼筋混凝土造,104年1月29日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLTLNHPFFBK76CA,,103.22,住家用,鋼筋混凝土造,,,一層 二層 見其他登記事項
RPRNMLLMNHPFFDK09CA,,92.13,住家用,鋼筋混凝土造,109年1月16日,五層,二層
RPPNMLTLNHPFFBK76CA,37,63.59,見其他登記事項,鋼筋混凝土造,72年6月20日,,
RPPNMLTLNHPFFBK76CA,,36.61,見其他登記事項,鋼筋混凝土造,,,
RPRNMLLMNHPFFDK09CA,,1.07,見其他登記事項,鋼筋混凝土造,109年1月16日,五層,
RPRNMLLMNHPFFDK09CA,,41.81,共有部分,鋼筋混凝土造,109年1月16日,五層,
RPUNMLLLNHPFFBK09CA,13,24.83,住家用,鋼筋混凝土造,96年7月16日,十層,九層
RPUNMLLLNHPFFBK09CA,13,12.39,共有部分,鋼筋混凝土造,96年7月16日,十層,
RPUNMLLLNHPFFCK56CA,26,107.18,住家用,鋼筋混凝土造,83年4月16日,五層,五層
RPUNMLLLNHPFFCK56CA,26,6.65,見其他登記事項,鋼筋混凝土造,83年4月16日,五層,
RPRNMLLLNHPFFCK88CA,,157.81,住家用,鋼筋混凝土造,108年10月14日,三層,一層 二層 三層
RPPNMLLLNHPFFAK48CA,21,187.78,農舍,鋼筋混凝土造,88年7月14日,二層,一層 二層
RPRNMLLLNHPFFDK98CA,24,86.66,住家用,鋼筋混凝土造,84年11月24日,四層,三層
RPRNMLLLNHPFFDK98CA,24,13.25,見其他登記事項,鋼筋混凝土造,84年11月24日,四層,
RPQNMLLLNHPFFCK78CA,,153.48,見其他登記事項,鋼筋混凝土造,108年10月14日,三層,一層 二層 三層
RPVNMLRLNHPFFDK37CA,,195.05,見其他登記事項,鋼筋混凝土造,108年9月19日,四層,一層 二層 三層 四層
RPPNMLLLNHPFFCK68CA,,156.74,見其他登記事項,鋼筋混凝土造,108年10月14日,三層,一層 二層 三層
RPXNMLRLNHPFFCK47CA,1,320.67,見其他登記事項,鋼筋混凝土造,108年7月22日,四層,一層 二層 三層 四層
RPVNMLRLNHPFFCK27CA,1,320.67,見其他登記事項,鋼筋混凝土造,108年7月22日,四層,一層 二層 三層 四層
RPQNMLLJOHPFFCK68CA,2,169.38,見其他登記事項,鋼筋混凝土造,107年1月16日,三層,一層 二層 三層 見其他登記事項
RPTNMLRLNHPFFCK07CA,,86.02,見其他登記事項,鋼筋混凝土造,108年12月2日,七層,六層
RPTNMLRLNHPFFCK07CA,,35.18,見其他登記事項,鋼筋混凝土造,108年12月2日,七層,
RPSNMLQLNHPFFFK17CA,40,70.00,住家用,鋼筋混凝土造,69年7月20日,四層,三層
RPUNMLMLNHPFFFK96CA,1,79.02,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,一層
RPUNMLMLNHPFFFK96CA,1,52.72,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,
RPPOMLRLNHPFFCK76CA,,312.75,見其他登記事項,鋼筋混凝土造,108年12月2日,四層,一層 二層 三層 四層
RPUNMLQLNHPFFCK07CA,41,120.15,住商用,鋼筋混凝土造,68年8月9日,二層,一層 二層 騎樓
RPSNMLQLNHPFFCK86CA,23,99.20,住家用,鋼筋混凝土造,86年3月15日,五層,一層
RPSNMLQLNHPFFCK86CA,23,7.37,共用部份,鋼筋混凝土造,86年3月15日,五層,
RPUNMLKLNHPFFDK56CA,41,94.38,住家用,鋼筋混凝土造,68年2月19日,二層,一層 二層 騎樓
RPOOMLPLNHPFFDK56CA,4,324.99,見其他登記事項,鋼筋混凝土造,105年3月9日,五層,一層 二層 三層 四層 五層 見其他登記事項
RPTNMLMLNHPFFFK86CA,1,53.82,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,一層
RPTNMLMLNHPFFFK86CA,1,42.20,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,
