鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
五股區,房地(土地+建物)+車位,新北市五股區新五路二段631~660號,23.01,住,,,1081129,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,131.1,2,1,1,有,有,11200000,94628,坡道平面,26.48,1300000,,RPVNMLOKNHPFFBF88CA
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段541~570號,19.42,商,,,1090327,土地1建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961017,188.68,2,2,2,有,有,13500000,71550,坡道平面,41.78,0,,RPWNMLOKNHPFFBF98CA
泰山區,房地(土地+建物)+車位,新北市泰山區明志路二段181~210號,10.15,其他,,,1090411,土地3建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941226,128.06,3,2,2,有,有,10700000,83555,坡道機械,13.63,0,含增建或未登記建物。;,RPPQMLOKNHPFFBF58CA
新莊區,房地(土地+建物),新北市新莊區萬安街1~30號,5.26,住,,,1090321,土地1建物1車位0,三層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970418,45.78,1,1,1,有,有,4350000,95020,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLPKNHPFFBF88CA
新莊區,房地(土地+建物),新北市新莊區瓊林路100巷1~30號,31.66,住,,,1090320,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0660402,81.07,3,2,1,有,無,7280000,89799,,0.0,0,含增建或未登記建物。;,RPXSMLSKNHPFFBF37CA
五股區,車位,新北市五股區芳洲一路1~30號,0.28,住,,,1090425,土地0建物0車位1,,,其他,,,,32.47,0,0,0,有,有,1200000,,坡道平面,32.47,1200000,,RPPUMLSKNHPFFBF76CA
林口區,土地,力行段451~480地號,884.45,住,,,1090316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,96985000,109656,,0.0,0,,RPUNMLLLNHPFFBF58CA
泰山區,房地(土地+建物)+車位,新北市泰山區明志路二段232巷1~30號,22.26,住,,,1081215,土地3建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090316,124.64,2,2,1,有,有,10500000,88706,坡道平面,27.69,1900000,,RPORMLLLNHPFFBF38CA
新店區,房地(土地+建物)+車位,新北市新店區黎明路61~90號,67.95,其他,,,1090329,土地11建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0801211,212.69,4,2,2,有,有,11150000,52426,坡道平面,0.0,0,,RPSOMLMKNHPFFCF58CA
新店區,房地(土地+建物),新北市新店區中正路329巷3弄1~30號,35.13,住,,,1090401,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,90.6,3,2,1,有,無,10200000,112583,,0.0,0,含增建或未登記建物。;,RPVOMLMKNHPFFCF88CA
新店區,房地(土地+建物),新北市新店區三民路21巷1~30號,33.59,住,,,1090406,土地2建物1車位0,三層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,99.9,3,2,2,有,無,12120000,121321,,0.0,0,,RPSNMLNKNHPFFCF58CA
新店區,房地(土地+建物)+車位,新北市新店區中正路四維巷8弄1~30號,63.83,工,,,1090305,土地1建物1車位1,二層,五層,廠辦,工業用,鋼筋混凝土造,0750319,287.06,4,0,1,有,有,30408000,105933,坡道平面,0.0,0,,RPSOMLNKNHPFFCF68CA
