編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUQMLTKNHPFFGF67CC,7,64.69,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPUQMLTKNHPFFGF67CC,7,1.23,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPUQMLTKNHPFFGF67CC,7,25.94,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPTQMLTKNHPFFGF57CC,7,60.68,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPTQMLTKNHPFFGF57CC,7,1.17,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPTQMLTKNHPFFGF57CC,7,24.70,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPWQMLTKNHPFFGF87CC,7,62.43,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPWQMLTKNHPFFGF87CC,7,1.17,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPWQMLTKNHPFFGF87CC,7,25.93,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPSRMLTKNHPFFGF57CC,41,82.00,住家用,鋼筋混凝土造,68年5月9日,四層,
RPVQMLTKNHPFFGF77CC,7,68.61,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPVQMLTKNHPFFGF77CC,7,1.30,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPVQMLTKNHPFFGF77CC,7,28.40,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPPRMLTKNHPFFBF76CC,23,32.78,住家用,鋼筋混凝土造,86年1月29日,九層,
RPPRMLTKNHPFFBF76CC,23,1.67,共有部份,鋼筋混凝土造,86年1月29日,九層,
RPPRMLTKNHPFFBF76CC,23,7.37,共有部份,鋼筋混凝土造,86年1月29日,九層,
RPTSMLTKNHPFFBF27CC,3,43.10,見其他登記事項,鋼筋混凝土造,106年7月21日,十九層,
RPTSMLTKNHPFFBF27CC,3,12.93,見其他登記事項,鋼筋混凝土造,106年7月21日,十九層,
RPTSMLTKNHPFFBF27CC,3,8.29,見其他登記事項,鋼筋混凝土造,106年7月21日,十九層,
RPRTMLTKNHPFFBF17CC,25,55.65,住家用,鋼筋混凝土造,84年10月18日,十六層,
RPRTMLTKNHPFFBF17CC,25,11.79,共有部份,鋼筋混凝土造,84年10月18日,十六層,
RPRTMLTKNHPFFBF17CC,25,1.27,共有部份,鋼筋混凝土造,84年10月18日,十六層,
RPRTMLTKNHPFFBF17CC,25,11.05,共有部份,鋼筋混凝土造,84年10月18日,十六層,
RPOPMLTKNHPFFEF76CC,7,89.12,住家用,鋼筋混凝土造,102年7月12日,十五層,
RPOPMLTKNHPFFEF76CC,7,45.74,見其他登記事項,鋼筋混凝土造,102年7月12日,十五層,
